;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;3789;64;21;546;776;14,3;0,3;0,1;20,3;5,9;76;18,2;34,1;1328;1076;839;379;145;21;00:43:32;00:09:17;00:04:09;00:01:20;00:00:23;00:01:46;00:00:02;6;18;38;115;350;375;134;48;26;10;00:00:02;00:00:07;00:00:16;00:00:52;00:03:31;00:03:27;00:00:55;00:00:19;00:00:11;00:00:04;2,6;00:58:46;11;4;26,5;58,78
A;4004;68;22;599;850;15;0,3;0,3;21,2;6,3;81;19;35;1420;1127;858;353;176;70;00:42:46;00:09:57;00:04:16;00:01:13;00:00:29;00:01:52;00:00:09;10;27;45;124;331;399;138;45;29;11;00:00:03;00:00:10;00:00:19;00:00:54;00:03:23;00:03:35;00:00:55;00:00:17;00:00:12;00:00:05;3;00:58:52;12;7;29;58,88
B;3778;64;21;589;772;15,6;0,3;0,1;20,4;5,9;76;18,6;34,8;1297;1099;792;394;166;29;00:43:33;00:09:28;00:03:57;00:01:23;00:00:27;00:01:54;00:00:04;4;15;44;105;346;347;136;50;32;9;00:00:02;00:00:06;00:00:17;00:00:46;00:03:12;00:03:05;00:00:54;00:00:17;00:00:11;00:00:03;1,5;00:58:52;14;5;28,2;58,88
C;3585;61;20;597;789;16,7;0,3;0,2;22;5,6;72;18,6;36,3;1390;813;785;383;177;36;00:45:56;00:07:12;00:03:49;00:01:21;00:00:28;00:01:55;00:00:05;8;21;33;103;357;347;129;50;26;10;00:00:02;00:00:07;00:00:13;00:00:46;00:03:38;00:03:24;00:00:51;00:00:18;00:00:10;00:00:04;2;00:58:52;7;7;27;58,88
D;3712;63;20;364;620;9,8;0,3;0;16,7;5,7;74;17,7;30;1374;1264;710;233;113;18;00:43:22;00:10:48;00:03:32;00:00:49;00:00:18;00:01:10;00:00:02;2;14;38;105;338;350;121;59;31;11;00:00:00;00:00:06;00:00:18;00:00:51;00:03:45;00:03:32;00:00:55;00:00:25;00:00:13;00:00:04;3;00:58:52;6;1;26,1;58,88
E;3555;60;20;546;725;15,3;0,2;0,2;20,4;5,6;72;18,9;34,2;1454;903;653;362;162;22;00:46:05;00:07:45;00:03:16;00:01:15;00:00:26;00:01:45;00:00:03;7;21;41;116;317;377;138;44;20;6;00:00:02;00:00:08;00:00:17;00:00:49;00:03:16;00:03:30;00:00:52;00:00:18;00:00:08;00:00:02;2,5;00:58:52;8;5;27,4;58,88
F;4065;69;23;670;896;16,5;0,3;0,2;22;6,5;83;20,9;37,4;1444;1030;921;445;203;22;00:43:23;00:08:46;00:04:32;00:01:33;00:00:33;00:02:10;00:00:03;7;23;45;151;418;420;159;65;35;13;00:00:03;00:00:10;00:00:18;00:01:04;00:04:02;00:03:46;00:01:04;00:00:25;00:00:14;00:00:05;3;00:58:52;13;5;26,4;58,88
G;3747;64;21;630;817;16,8;0,2;0,2;21,8;5,9;76;19,3;36,2;1415;872;831;455;141;34;00:45:07;00:07:18;00:04:07;00:01:36;00:00:23;00:02:04;00:00:04;9;24;43;114;341;378;149;50;23;9;00:00:03;00:00:10;00:00:18;00:00:52;00:03:24;00:03:27;00:00:59;00:00:18;00:00:10;00:00:03;2,5;00:58:37;19;6;27,6;58,63
H;4021;70;22;710;913;17,7;0,2;0,2;22,7;6,3;82;17,6;35,9;1311;1114;887;493;187;30;00:41:25;00:09:37;00:04:23;00:01:44;00:00:30;00:02:18;00:00:04;7;16;41;127;367;423;136;51;18;6;00:00:02;00:00:07;00:00:18;00:00:58;00:03:34;00:03:52;00:00:55;00:00:19;00:00:08;00:00:03;3;00:57:45;15;5;26,2;57,75
I;3784;64;21;552;806;14,6;0,2;0,1;21,3;5,9;76;17,8;35;1142;1132;958;441;105;6;00:42:27;00:09:50;00:04:43;00:01:33;00:00:16;00:01:51;00:00:00;5;19;37;107;354;385;121;48;20;8;00:00:02;00:00:07;00:00:16;00:00:50;00:03:25;00:03:29;00:00:48;00:00:18;00:00:08;00:00:03;2;00:58:52;14;6;26,2;58,88
L;4168;71;23;601;946;14,4;0,3;0,1;22,7;6,5;84;18,7;37,4;1393;1048;1126;405;195;0;00:42:28;00:08:54;00:05:32;00:01:25;00:00:32;00:01:57;00:00:00;4;18;40;125;428;458;153;55;30;12;00:00:01;00:00:08;00:00:17;00:00:55;00:04:10;00:04:06;00:01:02;00:00:21;00:00:12;00:00:05;2;00:58:52;12;5;25;58,88
M;3532;60;19;272;479;7,7;0,3;0,1;13,6;5,3;69;14,6;24,6;1357;1278;624;184;84;5;00:43:21;00:11:26;00:03:11;00:00:38;00:00:14;00:00:53;00:00:00;4;12;23;82;283;289;108;34;20;9;00:00:01;00:00:05;00:00:10;00:00:40;00:03:14;00:02:59;00:00:50;00:00:14;00:00:08;00:00:04;3;00:58:52;10;2;26,2;58,88
N;4068;69;23;622;941;15,3;0,4;0,2;23,1;6,5;84;21,1;38,8;1256;1176;1013;456;159;8;00:41:58;00:09:49;00:05:01;00:01:36;00:00:25;00:02:03;00:00:01;7;22;48;156;421;438;176;59;37;16;00:00:03;00:00:09;00:00:21;00:01:08;00:04:01;00:03:37;00:01:13;00:00:24;00:00:15;00:00:06;2;00:58:52;5;1;26,4;58,88
O;4105;70;22;588;832;14,3;0,2;0,1;20,3;6,2;81;15,6;32,5;1226;1289;1002;451;117;20;00:40:46;00:11:11;00:04:57;00:01:35;00:00:19;00:01:57;00:00:02;5;16;38;107;328;392;117;30;22;8;00:00:02;00:00:07;00:00:16;00:00:48;00:03:01;00:03:11;00:00:48;00:00:12;00:00:09;00:00:03;4;00:58:52;16;2;26,4;58,88
P;2926;50;16;296;482;10,1;0,3;0,1;16,5;4,5;58;15,9;29,4;1120;923;587;250;46;0;00:46:55;00:08:01;00:02:55;00:00:52;00:00:08;00:01:00;00:00:00;3;9;17;84;269;253;93;33;24;9;00:00:01;00:00:04;00:00:08;00:00:42;00:03:08;00:02:46;00:00:41;00:00:14;00:00:11;00:00:04;2,5;00:58:52;8;2;22,7;58,88
