;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;4186;63;23;535;768;12,8;0,3;0,1;18,3;5,7;74;18;31,9;1554;1245;852;395;128;13;00:50:05;00:10:45;00:04:15;00:01:23;00:00:21;00:01:46;00:00:01;6;20;44;126;373;422;142;51;28;11;00:00:02;00:00:08;00:00:18;00:00:58;00:03:51;00:03:55;00:00:59;00:00:20;00:00:12;00:00:04;2,9;01:06:51;11;6;26;66,87
A;4234;63;24;519;793;12,3;0,3;0,3;18,7;5,9;76;19,7;32,6;1623;1193;898;409;110;0;00:50:03;00:10:35;00:04:30;00:01:26;00:00:18;00:01:45;00:00:00;12;30;57;128;337;422;147;54;30;12;00:00:05;00:00:12;00:00:24;00:01:00;00:03:37;00:03:57;00:00:59;00:00:21;00:00:12;00:00:05;2;01:06:53;18;10;24;66,89
B;3887;58;22;527;672;13,6;0,4;0,2;17,3;5,4;69;19,2;31,5;1581;1158;621;331;187;10;00:52:09;00:09:55;00:03:08;00:01:09;00:00:30;00:01:41;00:00:01;9;26;42;119;320;374;129;48;36;16;00:00:03;00:00:10;00:00:16;00:00:50;00:03:17;00:03:24;00:00:51;00:00:19;00:00:13;00:00:06;2,5;01:06:55;9;9;25,6;66,93
C;4336;65;24;501;784;11,6;0,3;0;18,1;5,9;76;17,6;32,4;1473;1330;1032;372;122;6;00:48:37;00:11:29;00:05:07;00:01:19;00:00:20;00:01:40;00:00:00;2;11;45;130;404;426;143;58;35;14;00:00:00;00:00:05;00:00:18;00:00:59;00:03:58;00:03:52;00:01:00;00:00:22;00:00:14;00:00:05;2;01:06:55;9;2;26,5;66,93
D;3873;58;21;553;726;14,3;0,2;0,1;18,8;5,2;68;17,2;32;1749;830;742;382;154;17;00:54:17;00:07:10;00:03:40;00:01:19;00:00:25;00:01:47;00:00:02;4;23;40;96;332;373;127;45;26;9;00:00:01;00:00:08;00:00:15;00:00:44;00:03:35;00:03:37;00:00:50;00:00:17;00:00:10;00:00:03;2,5;01:06:55;5;7;28,9;66,93
E;4273;64;23;545;800;12,8;0,2;0,1;18,7;5,8;75;17,6;32,4;1617;1254;856;430;108;8;00:50:05;00:10:46;00:04:13;00:01:31;00:00:18;00:01:50;00:00:01;5;17;47;129;390;459;167;51;20;7;00:00:01;00:00:07;00:00:18;00:00:59;00:04:06;00:04:19;00:01:10;00:00:21;00:00:08;00:00:02;2,5;01:06:55;16;6;26,3;66,93
F;4471;67;25;699;901;15,6;0,2;0,1;20,2;6,1;79;18,6;34,1;1511;1305;956;447;225;27;00:48:31;00:11:21;00:04:47;00:01:34;00:00:37;00:02:15;00:00:03;4;20;42;148;465;498;156;59;31;10;00:00:01;00:00:09;00:00:19;00:01:08;00:04:30;00:04:26;00:01:06;00:00:22;00:00:12;00:00:04;2,5;01:06:55;10;6;26,9;66,93
G;4182;62;23;665;789;15,9;0,2;0,1;18,9;5,6;73;16,7;31,7;1544;1268;705;423;206;35;00:50:05;00:11:12;00:03:30;00:01:29;00:00:33;00:02:07;00:00:04;4;18;45;116;350;390;137;42;22;10;00:00:01;00:00:06;00:00:18;00:00:50;00:03:28;00:03:30;00:00:50;00:00:15;00:00:09;00:00:04;3;01:06:55;10;2;27,5;66,93
H;3832;57;21;452;696;11,8;0,2;0,1;18,2;5,2;67;17,2;31,1;1391;1210;779;334;110;8;00:51:17;00:10:11;00:03:56;00:01:10;00:00:18;00:01:30;00:00:01;5;14;36;113;363;422;126;41;22;8;00:00:02;00:00:06;00:00:15;00:00:54;00:03:48;00:04:08;00:00:56;00:00:17;00:00:09;00:00:03;3;01:06:55;9;4;26,5;66,93
I;4341;65;24;452;713;10,4;0,3;0,1;16,4;6;77;18,7;29,8;1514;1488;887;350;102;0;00:48:13;00:12:40;00:04:30;00:01:14;00:00:17;00:01:31;00:00:00;5;26;56;128;373;450;150;57;30;12;00:00:02;00:00:11;00:00:24;00:01:01;00:04:13;00:04:24;00:01:06;00:00:23;00:00:12;00:00:05;2,5;01:06:55;13;5;24;66,93
