;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;4638;90;25;881;1120;18,9;0,1;0,1;24;8,1;104;16,5;37,2;1291;1295;1170;616;192;73;00:32:05;00:11:06;00:05:44;00:02:10;00:00:31;00:02:51;00:00:09;6;22;42;124;408;458;151;46;19;5;00:00:02;00:00:08;00:00:16;00:00:50;00:03:14;00:03:15;00:00:56;00:00:17;00:00:07;00:00:01;3,7;00:51:49;12;6;28,8;51,82
A;4581;88;25;871;1051;19;0,1;0,1;22,9;7,9;102;15,2;36;1372;1243;1095;657;175;39;00:32:33;00:11:01;00:05:20;00:02:20;00:00:28;00:02:53;00:00:05;3;16;36;120;398;403;150;50;15;3;00:00:01;00:00:06;00:00:14;00:00:51;00:03:05;00:02:51;00:00:54;00:00:20;00:00:06;00:00:01;3,5;00:51:49;15;4;27,3;51,82
B;4687;90;26;997;1238;21,3;0,1;0,2;26,4;8,3;108;18,9;40,6;1367;1275;1048;645;253;99;00:32:31;00:11:02;00:05:04;00:02:16;00:00:41;00:03:11;00:00:13;10;28;57;144;427;498;186;56;20;5;00:00:03;00:00:10;00:00:23;00:00:58;00:03:15;00:03:18;00:01:09;00:00:22;00:00:08;00:00:02;4;00:51:49;13;9;30,5;51,82
C;4302;83;23;707;896;16,4;0,1;0,1;20,8;7,4;96;15,2;34;1273;1258;1064;447;146;114;00:33:33;00:10:46;00:05:15;00:01:35;00:00:23;00:02:14;00:00:14;2;12;31;110;380;398;127;48;23;5;00:00:01;00:00:05;00:00:12;00:00:39;00:02:59;00:02:54;00:00:46;00:00:17;00:00:08;00:00:02;3;00:51:49;13;3;31,7;51,82
D;4466;86;24;891;995;20;0,2;0,1;22,3;7,7;99;14,7;34,7;1332;1307;935;472;262;157;00:32:53;00:11:33;00:04:39;00:01:38;00:00:43;00:02:42;00:00:20;3;18;31;90;345;344;134;41;27;8;00:00:01;00:00:06;00:00:11;00:00:36;00:02:47;00:02:26;00:00:44;00:00:15;00:00:11;00:00:03;3;00:51:49;14;3;31,2;51,82
E;4388;85;24;691;932;15,8;0,1;0,1;21,2;7,6;98;15,7;34,3;1259;1264;1174;574;105;13;00:32:57;00:10:42;00:05:47;00:02:02;00:00:17;00:02:21;00:00:01;3;15;35;112;392;427;148;43;21;5;00:00:02;00:00:06;00:00:14;00:00:48;00:03:34;00:03:29;00:00:58;00:00:17;00:00:08;00:00:02;3;00:51:49;10;2;26,1;51,82
F;4360;84;24;809;1030;18,6;0;0,1;23,6;7,6;98;16,9;36,9;1391;1171;989;568;143;98;00:34:14;00:10:05;00:04:53;00:01:59;00:00:23;00:02:36;00:00:13;3;19;40;109;438;480;150;42;18;1;00:00:01;00:00:08;00:00:16;00:00:47;00:03:35;00:03:38;00:00:58;00:00:16;00:00:07;00:00:00;3,5;00:51:49;13;4;28,5;51,82
G;4958;96;27;1160;1351;23,4;0,1;0,1;27,3;8,8;114;18,9;41,9;1165;1485;1149;746;297;117;00:29:42;00:12:44;00:05:40;00:02:37;00:00:48;00:03:41;00:00:15;6;23;50;177;504;534;186;63;26;5;00:00:03;00:00:09;00:00:18;00:01:09;00:03:35;00:03:24;00:01:09;00:00:23;00:00:10;00:00:02;4,5;00:51:49;11;9;30,3;51,82
H;5102;98;27;918;1307;18;0;0,2;25,6;8,8;113;14,8;38;1133;1453;1598;756;161;1;00:28:46;00:12:05;00:07:48;00:02:42;00:00:26;00:03:09;00:00:00;9;25;42;115;422;490;135;34;11;2;00:00:03;00:00:10;00:00:16;00:00:44;00:03:09;00:03:12;00:00:50;00:00:14;00:00:05;00:00:00;3;00:51:49;12;9;25,1;51,82
I;4570;88;25;1086;1204;23,8;0,1;0,2;26,3;8;103;17;39,1;1480;1071;933;727;271;88;00:34:18;00:09:31;00:04:30;00:02:31;00:00:44;00:03:28;00:00:11;9;32;46;116;364;427;140;41;19;7;00:00:03;00:00:12;00:00:16;00:00:43;00:03:01;00:02:59;00:00:49;00:00:14;00:00:07;00:00:02;3,5;00:51:49;10;14;29;51,82
L;5468;106;29;1318;1568;24,1;0,1;0,1;28,7;9,5;123;16,1;42,1;1041;1576;1532;992;287;39;00:26:20;00:13:39;00:07:25;00:03:31;00:00:47;00:04:24;00:00:05;8;25;42;145;507;588;175;44;15;3;00:00:03;00:00:09;00:00:16;00:00:58;00:03:34;00:03:45;00:01:04;00:00:17;00:00:06;00:00:01;4,5;00:51:49;15;8;26,2;51,82
M;4774;92;26;780;1122;16,3;0,1;0,1;23,5;8,3;107;16,5;36,6;1253;1382;1359;623;132;25;00:31:00;00:11:28;00:06:41;00:02:13;00:00:21;00:02:38;00:00:03;3;21;56;134;399;497;156;45;17;4;00:00:01;00:00:09;00:00:22;00:00:57;00:03:11;00:03:36;00:01:00;00:00:18;00:00:07;00:00:01;4;00:51:49;9;3;27,4;51,82
