;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;6386;81;35;1517;1692;23,8;0,1;0,1;26,5;7,3;95;17,1;39,3;1968;1622;1279;758;502;257;00:53:59;00:13:57;00:06:19;00:02:38;00:01:21;00:04:33;00:00:34;8;28;66;191;582;674;213;65;26;7;00:00:03;00:00:11;00:00:25;00:01:19;00:05:00;00:05:02;00:01:22;00:00:26;00:00:11;00:00:03;5,1;01:18:51;16;6;30,5;78,86
A;6469;82;35;1500;1734;23,2;0,1;0,1;26,8;7,4;95;16,5;39,2;2047;1588;1334;799;489;213;00:54:03;00:13:50;00:06:32;00:02:46;00:01:19;00:04:34;00:00:28;9;28;61;197;562;671;207;56;21;6;00:00:03;00:00:11;00:00:23;00:01:24;00:04:47;00:05:03;00:01:21;00:00:22;00:00:09;00:00:02;5;01:19:01;21;5;29,4;79,02
B;6201;78;34;1633;1723;26,3;0,1;0,1;27,8;7,1;92;17,1;41;1957;1454;1157;843;526;264;00:55:43;00:12:35;00:05:46;00:02:55;00:01:25;00:04:55;00:00:34;7;22;62;183;599;662;227;63;25;5;00:00:03;00:00:09;00:00:23;00:01:13;00:04:48;00:04:40;00:01:28;00:00:26;00:00:10;00:00:02;5,5;01:19:01;26;5;31;79,02
C;6298;80;34;1605;1680;25,5;0,1;0,1;26,7;7,2;93;16,3;38,9;1908;1596;1189;736;602;267;00:54:17;00:14:03;00:05:53;00:02:33;00:01:38;00:04:46;00:00:35;5;20;62;206;557;690;197;63;21;4;00:00:02;00:00:08;00:00:26;00:01:21;00:04:37;00:05:04;00:01:16;00:00:24;00:00:09;00:00:01;5;01:19:01;13;3;31,7;79,02
D;5774;73;32;1486;1591;25,7;0,2;0,1;27,6;6,7;86;17,7;40,9;1937;1273;1077;579;477;430;00:57:46;00:11:18;00:05:18;00:02:01;00:01:16;00:04:14;00:00:56;5;24;74;172;520;574;195;66;28;10;00:00:02;00:00:09;00:00:25;00:01:05;00:04:10;00:04:04;00:01:08;00:00:24;00:00:11;00:00:04;6,5;01:18:37;15;5;30,9;78,62
E;6636;84;36;1362;1549;20,5;0,2;0,1;23,3;7,6;98;16,4;36,2;2092;1889;1292;663;412;287;00:52:13;00:16:17;00:06:28;00:02:18;00:01:06;00:04:03;00:00:37;4;21;60;188;637;676;212;81;32;10;00:00:02;00:00:08;00:00:24;00:01:19;00:05:55;00:05:23;00:01:25;00:00:33;00:00:14;00:00:04;4,5;01:19:01;17;5;30,3;79,02
F;5873;74;32;1381;1584;23,5;0,1;0,2;27;6,8;88;18,5;39,9;2030;1339;1123;787;398;196;00:57:46;00:11:29;00:05:31;00:02:42;00:01:05;00:04:13;00:00:25;14;37;70;183;506;648;212;57;24;5;00:00:05;00:00:13;00:00:28;00:01:15;00:04:39;00:05:07;00:01:22;00:00:24;00:00:09;00:00:02;6;01:19:01;18;8;30,6;79,02
G;6523;83;36;1599;1781;24,5;0,1;0,1;27,3;7,6;98;18,2;41;1885;1691;1347;693;650;256;00:52:47;00:14:43;00:06:45;00:02:24;00:01:45;00:04:44;00:00:34;9;30;67;218;652;712;238;85;25;6;00:00:03;00:00:11;00:00:25;00:01:28;00:05:16;00:05:11;00:01:29;00:00:32;00:00:11;00:00:02;4,5;01:19:01;16;6;30,3;79,02
H;6512;82;35;1532;1724;23,5;0,1;0,2;26,5;7,5;96;17;39,5;2006;1560;1415;891;463;177;00:54:02;00:13:15;00:06:58;00:03:06;00:01:14;00:04:45;00:00:24;11;36;70;175;535;646;224;67;28;9;00:00:04;00:00:13;00:00:26;00:01:15;00:04:34;00:04:40;00:01:28;00:00:26;00:00:12;00:00:03;5,5;01:19:01;22;11;28,9;79,02
I;6440;81;35;1685;1692;26,2;0,1;0,1;26,3;7,3;94;15,4;37,8;2182;1605;967;858;599;228;00:54:59;00:14:09;00:04:47;00:02:56;00:01:37;00:05:04;00:00:30;6;23;66;164;542;656;177;50;21;6;00:00:02;00:00:08;00:00:23;00:01:05;00:04:43;00:04:48;00:01:03;00:00:19;00:00:08;00:00:02;4;01:19:01;8;6;29,8;79,02
L;6713;85;36;1542;1822;23;0,1;0,1;27,1;7,6;99;15,9;39,6;1779;1744;1648;863;442;237;00:51:12;00:14:57;00:08:05;00:03:02;00:01:11;00:04:46;00:00:31;5;21;56;180;685;743;204;63;23;6;00:00:02;00:00:07;00:00:23;00:01:19;00:05:52;00:05:48;00:01:21;00:00:25;00:00:11;00:00:03;4,5;01:19:01;8;2;29,7;79,02
M;6634;84;36;1611;1810;24,3;0,1;0,1;27,3;7,6;98;16,4;39,7;1879;1669;1475;831;536;244;00:52:46;00:14:05;00:07:14;00:02:55;00:01:27;00:04:54;00:00:32;8;25;61;195;593;706;209;63;24;5;00:00:03;00:00:10;00:00:24;00:01:22;00:04:58;00:05:11;00:01:25;00:00:26;00:00:10;00:00:02;5;01:19:01;16;3;31,4;79,02
N;6587;83;36;1472;1712;22,3;0,1;0,1;26;7,7;99;18,7;39,1;1910;1854;1352;791;441;239;00:52:17;00:15:31;00:06:43;00:02:45;00:01:11;00:04:28;00:00:31;7;38;83;218;599;740;240;71;32;7;00:00:03;00:00:15;00:00:30;00:01:35;00:05:32;00:05:45;00:01:35;00:00:28;00:00:13;00:00:03;4,5;01:19:01;13;8;32,6;79,02
O;6341;80;35;1331;1624;21;0,2;0,1;25,6;7,3;94;17,5;38,3;2042;1649;1319;627;471;234;00:54:46;00:13:44;00:06:31;00:02:11;00:01:15;00:03:58;00:00:31;9;30;62;207;589;681;207;57;36;11;00:00:03;00:00:12;00:00:27;00:01:29;00:05:26;00:05:17;00:01:29;00:00:25;00:00:16;00:00:05;5,5;01:19:01;12;9;29;79,02
P;6410;83;35;1499;1658;23,4;0,1;0,1;25,9;7,6;98;17,6;38,7;1903;1802;1206;648;521;330;00:51:12;00:15:29;00:06:03;00:02:16;00:01:24;00:04:24;00:00:43;7;35;72;194;567;637;227;72;26;7;00:00:02;00:00:13;00:00:26;00:01:15;00:04:48;00:04:33;00:01:25;00:00:27;00:00:11;00:00:03;5,5;01:17:09;17;10;30,8;77,15
