;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;9895;102;54;1897;2443;19,2;0,1;0,2;24,6;9,2;119;16,7;37,9;2352;2943;2703;1305;469;123;00:51:48;00:25:36;00:13:18;00:04:36;00:01:16;00:06:09;00:00:16;17;53;93;260;831;973;306;96;44;13;00:00:06;00:00:20;00:00:36;00:01:47;00:06:34;00:06:48;00:01:55;00:00:37;00:00:18;00:00:05;6,8;01:36:53;24;14;29,4;96,89
A;2279;122;13;469;612;20,6;0,1;0,3;26,8;11,3;146;20;41;397;804;609;251;163;55;00:06:56;00:07:16;00:03:01;00:00:53;00:00:26;00:01:27;00:00:07;7;21;33;64;183;250;78;20;11;3;00:00:02;00:00:08;00:00:11;00:00:23;00:01:19;00:01:33;00:00:26;00:00:07;00:00:04;00:00:01;5;00:18:40;8;7;31,3;18,68
B;793;135;5;219;264;27,6;0,2;0,4;33,2;12,8;166;23,2;48,3;115;224;235;134;57;28;00:02:12;00:01:49;00:01:10;00:00:28;00:00:09;00:00:41;00:00:03;3;10;18;18;64;101;28;12;3;1;00:00:01;00:00:03;00:00:05;00:00:07;00:00:25;00:00:33;00:00:09;00:00:04;00:00:01;00:00:00;0,5;00:05:53;3;4;28,1;5,89
C;8893;98;48;1828;2297;20,6;0,1;0,1;25,8;8,8;114;16,1;39,4;2244;2285;2536;1218;454;157;00:52:04;00:20:04;00:12:22;00:04:17;00:01:14;00:05:52;00:00:20;11;36;81;239;752;853;302;90;32;7;00:00:03;00:00:13;00:00:33;00:01:32;00:05:38;00:05:48;00:01:50;00:00:33;00:00:13;00:00:03;8,5;01:30:23;24;10;31,1;90,39
D;6208;99;34;1302;1609;21;0,2;0,1;25,9;8,9;115;16,6;39,7;1648;1603;1655;970;285;48;00:36:12;00:14:19;00:08:05;00:03:27;00:00:46;00:04:20;00:00:06;8;26;58;147;565;631;194;58;35;13;00:00:03;00:00:09;00:00:24;00:01:05;00:04:26;00:04:34;00:01:14;00:00:22;00:00:14;00:00:05;5;01:02:57;12;3;27,5;62,96
E;2178;60;12;520;585;23,9;0,2;0,2;26,8;5,6;72;19,1;40,9;645;568;446;311;191;18;00:27:24;00:04:56;00:02:11;00:01:04;00:00:31;00:01:38;00:00:02;5;14;22;58;211;230;75;21;16;3;00:00:01;00:00:04;00:00:09;00:00:24;00:01:39;00:01:40;00:00:26;00:00:07;00:00:05;00:00:01;5;00:36:10;3;4;28,9;36,17
F;1744;93;9;247;322;14,2;0,2;0,1;18,4;8,4;109;16,8;30,8;577;595;325;134;44;69;00:11:08;00:05:13;00:01:38;00:00:28;00:00:07;00:00:44;00:00:08;2;12;17;40;138;149;46;22;11;4;00:00:01;00:00:04;00:00:07;00:00:19;00:01:11;00:01:14;00:00:16;00:00:08;00:00:04;00:00:01;5;00:18:44;1;5;31;18,75
G;8561;110;45;1605;2090;18,7;0,1;0,1;24,4;9,7;126;14,2;37,2;1668;2693;2596;1295;270;39;00:36:25;00:23:11;00:12:49;00:04:34;00:00:45;00:05:24;00:00:05;7;23;52;205;747;823;239;65;28;8;00:00:03;00:00:09;00:00:21;00:01:24;00:05:42;00:05:35;00:01:29;00:00:26;00:00:12;00:00:03;8;01:17:51;28;2;28;77,86
H;9993;103;54;1836;2282;18,4;0,2;0,3;22,8;9,4;121;17,4;36;2472;3244;2441;1233;461;142;00:49:50;00:29:00;00:12:07;00:04:20;00:01:15;00:05:54;00:00:19;30;78;88;254;767;906;285;100;51;18;00:00:10;00:00:28;00:00:33;00:01:43;00:06:29;00:06:20;00:01:40;00:00:35;00:00:20;00:00:07;9;01:36:53;18;22;30,7;96,89
I;11263;116;60;2389;3075;21,2;0,1;0,1;27,3;10,3;133;14,5;39,6;2148;3171;3555;1869;482;38;00:43:45;00:27:45;00:17:21;00:06:35;00:01:20;00:08:01;00:00:05;12;41;83;261;977;1134;298;78;33;8;00:00:05;00:00:17;00:00:33;00:01:54;00:07:20;00:07:41;00:01:57;00:00:32;00:00:14;00:00:03;8,5;01:36:53;31;14;27,5;96,89
L;10416;108;55;1734;2510;16,6;0,1;0,1;24,1;9,5;123;14,3;36,2;2156;3233;3293;1290;410;34;00:47:29;00:27:27;00:16:10;00:04:34;00:01:07;00:05:46;00:00:04;9;33;72;247;916;1049;283;79;28;6;00:00:04;00:00:15;00:00:31;00:01:46;00:07:12;00:07:36;00:01:58;00:00:33;00:00:12;00:00:02;8,5;01:36:53;31;7;27,8;96,89
M;9773;101;54;1606;2208;16,4;0,2;0,2;22,6;9,3;120;18,7;36,8;2408;3133;2626;1127;412;67;00:52:16;00:26:20;00:12:59;00:03:59;00:01:07;00:05:16;00:00:09;17;59;113;295;832;972;326;134;64;21;00:00:07;00:00:25;00:00:45;00:02:03;00:06:52;00:07:07;00:02:06;00:00:52;00:00:26;00:00:08;8;01:36:53;22;17;29,3;96,89
N;9100;94;49;1586;2095;17,4;0,1;0,2;23;8,5;109;16,4;36,1;2673;2546;2296;948;489;149;00:58:13;00:22:22;00:11:18;00:03:20;00:01:19;00:04:59;00:00:19;15;46;84;250;711;833;309;91;38;11;00:00:06;00:00:19;00:00:34;00:01:42;00:05:30;00:05:50;00:01:57;00:00:37;00:00:16;00:00:05;8;01:36:53;24;13;30,3;96,89
O;9649;100;53;1900;2433;19,7;0,2;0,2;25,2;9,1;117;17,9;38,8;2403;2792;2554;1297;535;67;00:54:34;00:23:31;00:12:36;00:04:35;00:01:26;00:06:11;00:00:09;19;54;107;280;824;985;322;112;51;17;00:00:07;00:00:22;00:00:43;00:01:56;00:07:00;00:07:13;00:02:06;00:00:45;00:00:22;00:00:07;8,5;01:36:53;24;12;27,9;96,89
P;8093;105;45;1732;2049;21,4;0,1;0,3;25,3;9,7;125;19;38,6;1967;2538;1855;968;439;325;00:39:31;00:22:41;00:09:16;00:03:26;00:01:11;00:05:18;00:00:41;26;71;100;237;621;810;275;80;39;12;00:00:09;00:00:24;00:00:34;00:01:31;00:04:51;00:05:19;00:01:35;00:00:28;00:00:15;00:00:04;7,5;01:16:47;15;20;33;76,8
