;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;10578;109;58;2028;2706;19;0,1;0,2;25,4;9,9;128;17,4;39;2352;3067;3131;1480;471;77;00:48:35;00:26:21;00:15:23;00:05:14;00:01:17;00:06:42;00:00:10;21;59;102;292;931;1092;334;106;48;14;00:00:08;00:00:23;00:00:41;00:02:02;00:07:16;00:07:35;00:02:07;00:00:41;00:00:19;00:00:05;7,1;01:37:03;25;16;27,7;97,06
A;7447;108;41;1292;1900;17,3;0,1;0,2;25,5;9,9;127;18,1;39,6;1559;2256;2340;947;330;15;00:34:12;00:19:00;00:11:34;00:03:20;00:00:54;00:04:16;00:00:02;15;42;75;222;702;813;258;80;35;9;00:00:05;00:00:16;00:00:31;00:01:36;00:05:26;00:05:35;00:01:41;00:00:32;00:00:14;00:00:03;9;01:09:03;29;11;26,7;69,06
B;9660;100;53;1743;2292;18;0,1;0,2;23,7;9;117;17,1;37,3;2346;2905;2667;1267;351;125;00:53:11;00:24:59;00:13:09;00:04:29;00:00:57;00:05:43;00:00:16;16;45;86;281;856;985;322;115;43;9;00:00:06;00:00:18;00:00:37;00:02:00;00:07:03;00:07:20;00:02:04;00:00:46;00:00:17;00:00:04;8,5;01:37:03;23;10;30,2;97,06
C;10206;105;55;2282;2716;22,4;0,1;0,1;26,6;9,4;121;15,5;39,7;2633;2549;2743;1551;637;94;00:53:55;00:22:10;00:13:31;00:05:28;00:01:44;00:07:26;00:00:13;14;38;77;237;969;1038;301;79;43;13;00:00:05;00:00:15;00:00:32;00:01:40;00:07:11;00:07:12;00:01:51;00:00:29;00:00:17;00:00:05;8,5;01:37:03;11;6;28,3;97,06
D;3533;94;19;545;755;15,4;0,2;0,2;21,4;8,7;112;18,8;36;994;997;997;402;130;13;00:21:53;00:08:57;00:04:53;00:01:24;00:00:21;00:01:47;00:00:01;8;24;40;98;279;320;111;43;27;9;00:00:03;00:00:09;00:00:15;00:00:41;00:02:20;00:02:18;00:00:38;00:00:14;00:00:10;00:00:03;4,5;00:37:31;5;8;26,7;37,53
E;1985;105;11;444;533;22,4;0,1;0,4;26,8;9,7;126;19,7;41,2;559;530;453;346;91;6;00:10:33;00:04:37;00:02:13;00:01:12;00:00:15;00:01:28;00:00:00;8;20;19;50;168;204;63;22;14;3;00:00:03;00:00:07;00:00:07;00:00:21;00:01:17;00:01:25;00:00:22;00:00:07;00:00:05;00:00:01;4,5;00:18:51;7;3;26;18,86
F;3481;126;20;816;1045;23,5;0,1;0,3;30;11,9;154;22,6;46,3;528;1048;1088;570;196;51;00:10:37;00:09:02;00:05:20;00:02:01;00:00:32;00:02:40;00:00:06;11;32;45;128;350;410;156;51;19;4;00:00:05;00:00:13;00:00:18;00:00:48;00:02:28;00:02:33;00:00:55;00:00:19;00:00:07;00:00:01;4;00:27:40;8;14;30,5;27,68
G;7326;122;41;1699;2174;23,2;0,2;0,3;29,7;11,3;146;19,6;44,4;1405;1773;2449;1206;433;59;00:27:20;00:15:14;00:11:56;00:04:14;00:01:11;00:05:34;00:00:08;21;61;87;229;583;781;231;80;40;16;00:00:06;00:00:21;00:00:31;00:01:26;00:04:05;00:04:39;00:01:22;00:00:29;00:00:15;00:00:06;8,5;01:00:06;14;16;27,9;60,1
H;10465;108;57;2005;2568;19,2;0,1;0,3;24,5;9,8;127;17,8;37,9;2518;3187;2755;1306;550;150;00:48:40;00:28:21;00:13:37;00:04:34;00:01:30;00:06:24;00:00:19;33;77;104;272;861;1023;344;103;38;11;00:00:12;00:00:28;00:00:39;00:01:48;00:06:51;00:06:56;00:01:57;00:00:37;00:00:15;00:00:04;8,5;01:37:03;29;21;30,8;97,06
I;11907;123;63;2703;3375;22,7;0,1;0,2;28,3;10,9;141;14,8;40,9;2118;3298;3788;2128;546;29;00:40:42;00:28:47;00:18:27;00:07:32;00:01:30;00:09:06;00:00:03;18;46;90;281;1030;1220;304;84;33;8;00:00:06;00:00:18;00:00:37;00:01:57;00:07:29;00:07:55;00:01:57;00:00:35;00:00:14;00:00:03;8,5;01:37:03;30;20;28,8;97,06
