;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;2877;63;16;257;514;8,9;0,3;0,1;17,8;5,7;74;18,4;31,5;929;994;698;225;32;0;00:33:06;00:08:22;00:03:31;00:00:47;00:00:05;00:00:53;00:00:00;3;13;32;89;267;288;107;38;20;8;00:00:01;00:00:06;00:00:15;00:00:43;00:02:35;00:02:31;00:00:46;00:00:16;00:00:09;00:00:03;4,2;00:45:53;10;2;22,6;45,9
A;2869;63;16;245;505;8,5;0,3;0,1;17,6;5,7;74;18,6;31,3;892;1056;676;188;57;0;00:32:53;00:08:45;00:03:25;00:00:40;00:00:09;00:00:49;00:00:00;4;12;35;91;255;300;99;35;19;8;00:00:01;00:00:05;00:00:17;00:00:43;00:02:23;00:02:33;00:00:43;00:00:14;00:00:08;00:00:03;4;00:45:53;6;4;24,5;45,9
B;3012;66;17;377;593;12,5;0,3;0,1;19,7;6,1;79;19,7;34,4;965;961;710;328;48;0;00:32:56;00:08:05;00:03:34;00:01:08;00:00:08;00:01:16;00:00:00;2;14;46;101;273;301;119;38;25;10;00:00:01;00:00:06;00:00:19;00:00:47;00:02:28;00:02:28;00:00:48;00:00:15;00:00:11;00:00:04;4;00:45:53;7;3;23,7;45,9
C;2530;55;14;167;387;6,6;0,3;0,1;15,3;5;65;17;28,2;998;825;540;164;3;0;00:35:32;00:07:01;00:02:45;00:00:34;00:00:00;00:00:34;00:00:00;3;10;18;72;254;254;89;33;16;8;00:00:01;00:00:05;00:00:09;00:00:39;00:02:52;00:02:40;00:00:43;00:00:15;00:00:07;00:00:04;4,5;00:45:53;7;0;20,3;45,9
D;2897;63;16;234;536;8,1;0,2;0,2;18,5;5,8;75;18,3;32,7;942;852;869;211;23;0;00:33:41;00:07:01;00:04:22;00:00:44;00:00:03;00:00:48;00:00:00;5;15;34;88;251;289;106;39;19;7;00:00:02;00:00:06;00:00:15;00:00:40;00:02:19;00:02:21;00:00:45;00:00:16;00:00:09;00:00:03;3;00:45:53;9;5;23,6;45,9
E;3010;66;17;259;544;8,6;0,2;0,1;18,1;6,1;79;20,1;31,9;946;1067;738;224;35;0;00:32:23;00:08:51;00:03:45;00:00:48;00:00:05;00:00:54;00:00:00;4;19;37;101;290;339;124;39;20;7;00:00:02;00:00:10;00:00:18;00:00:51;00:02:57;00:03:09;00:00:57;00:00:17;00:00:09;00:00:03;4;00:45:53;18;3;22,6;45,9
F;2757;60;15;247;476;9;0,2;0,1;17,3;5,5;71;18,8;30,8;775;1126;608;204;44;0;00:32:29;00:09:26;00:03:08;00:00:42;00:00:07;00:00:50;00:00:00;3;12;36;90;259;290;107;37;14;5;00:00:01;00:00:05;00:00:16;00:00:44;00:02:31;00:02:28;00:00:48;00:00:16;00:00:06;00:00:02;4,5;00:45:53;14;3;22,2;45,9
G;2528;55;14;205;399;8,1;0,3;0,1;15,8;5,1;66;19,1;30;1018;807;498;161;44;0;00:35:48;00:06:53;00:02:30;00:00:34;00:00:07;00:00:41;00:00:00;2;9;34;87;227;222;90;41;23;7;00:00:01;00:00:04;00:00:15;00:00:40;00:02:09;00:01:57;00:00:37;00:00:16;00:00:10;00:00:03;3,5;00:45:53;4;1;24,5;45,9
H;2765;60;15;256;498;9,3;0,3;0,2;18;5,6;72;19,2;31,6;1026;936;547;213;43;0;00:34:30;00:07:43;00:02:46;00:00:45;00:00:07;00:00:52;00:00:00;5;18;31;88;249;283;110;32;20;7;00:00:02;00:00:08;00:00:15;00:00:45;00:02:31;00:02:32;00:00:48;00:00:14;00:00:09;00:00:03;4;00:45:53;6;2;24;45,9
I;3160;69;17;218;561;6,9;0,3;0;17,7;6,2;81;17;32,1;1039;1003;901;217;1;0;00:32:13;00:08:21;00:04:31;00:00:46;00:00:00;00:00:46;00:00:00;2;9;25;88;310;308;122;35;22;9;00:00:00;00:00:04;00:00:12;00:00:41;00:02:47;00:02:35;00:00:50;00:00:15;00:00:09;00:00:04;4;00:45:53;13;2;20;45,9
