;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;7536;95;40;2156;2398;28,6;0,1;0,1;31,8;8,4;109;14,4;43;1968;1834;1577;1417;732;7;00:49:11;00:15:36;00:07:48;00:04:49;00:02:02;00:06:52;00:00:01;6;22;50;176;655;680;232;76;32;8;00:00:02;00:00:10;00:00:22;00:01:24;00:05:48;00:05:21;00:01:37;00:00:33;00:00:14;00:00:03;5,5;01:19:29;20;5;25,4;79,49
A;6750;87;36;1709;1901;25,3;0,1;0,1;28,2;7,7;99;13,4;38,4;2102;1689;1250;1155;543;11;00:51:12;00:14:22;00:06:14;00:03:57;00:01:32;00:05:31;00:00:01;4;19;45;150;542;603;189;55;21;5;00:00:02;00:00:08;00:00:18;00:01:12;00:05:05;00:05:02;00:01:20;00:00:25;00:00:09;00:00:02;4,5;01:17:21;22;2;26,1;77,36
B;7235;91;38;2187;2308;30,2;0,1;0,1;31,9;8;103;13,5;42,6;2067;1697;1284;1579;597;11;00:51:44;00:14:28;00:06:25;00:05:19;00:01:40;00:07:01;00:00:01;6;20;54;156;558;617;194;68;27;6;00:00:02;00:00:07;00:00:20;00:01:12;00:05:08;00:04:47;00:01:20;00:00:29;00:00:12;00:00:03;5,5;01:19:39;15;4;26,4;79,66
C;7373;93;39;2035;2200;27,6;0,2;0;29,8;8,1;105;13,3;40,4;2067;2007;1264;959;1075;1;00:49:28;00:17:40;00:06:17;00:03:14;00:02:58;00:06:13;00:00:00;3;14;28;155;628;619;218;74;38;12;00:00:01;00:00:07;00:00:16;00:01:21;00:06:04;00:05:17;00:01:37;00:00:33;00:00:17;00:00:05;5,5;01:19:39;17;4;25;79,66
D;6992;88;37;2133;2391;30,5;0,1;0,1;34,2;7,8;101;15,2;45,5;2061;1494;1304;1750;374;9;00:53:29;00:12:46;00:06:23;00:05:55;00:01:04;00:07:01;00:00:01;9;27;62;170;597;668;233;66;22;5;00:00:03;00:00:11;00:00:26;00:01:22;00:05:29;00:05:36;00:01:42;00:00:28;00:00:10;00:00:02;5;01:19:39;41;5;26,3;79,66
E;7516;94;41;2282;2549;30,4;0,1;0,1;33,9;8,5;110;16,2;45,9;2024;1652;1559;1096;1182;4;00:50:53;00:14:03;00:07:41;00:03:44;00:03:16;00:07:01;00:00:00;8;29;52;189;728;664;268;101;40;8;00:00:04;00:00:13;00:00:23;00:01:32;00:06:19;00:05:17;00:01:50;00:00:44;00:00:17;00:00:03;5,5;01:19:39;26;8;25,8;79,66
F;7609;96;40;1955;2277;25,7;0,1;0,1;29,9;8,4;109;13,7;41,5;1788;1773;2094;1733;222;0;00:48:19;00:14:27;00:10:17;00:05:56;00:00:38;00:06:35;00:00:00;6;17;40;186;612;663;218;74;31;7;00:00:03;00:00:08;00:00:19;00:01:30;00:05:24;00:05:04;00:01:37;00:00:34;00:00:14;00:00:03;6,5;01:19:39;16;4;23,1;79,66
G;7650;96;40;2224;2337;29,1;0,1;0,1;30,6;8,4;108;13;41,2;1920;1916;1589;1872;352;0;00:47:51;00:16:36;00:07:51;00:06:19;00:01:01;00:07:21;00:00:00;7;20;43;155;625;654;214;58;19;4;00:00:03;00:00:08;00:00:18;00:01:10;00:05:26;00:05:04;00:01:23;00:00:24;00:00:08;00:00:01;5;01:19:39;17;9;24,1;79,66
H;8141;102;43;2406;2732;29,6;0,1;0,1;33,6;9,1;117;14,9;45,3;1726;2030;1979;1046;1360;0;00:45:30;00:17:02;00:09:46;00:03:36;00:03:43;00:07:20;00:00:00;6;22;46;205;802;837;252;77;29;6;00:00:02;00:00:09;00:00:20;00:01:36;00:06:32;00:06:08;00:01:43;00:00:33;00:00:14;00:00:03;5;01:19:39;17;7;24,8;79,66
I;7942;100;43;2268;2609;28,6;0,1;0,1;32,9;9;116;16,3;44,4;1886;2079;1710;857;1366;45;00:46:36;00:17:45;00:08:32;00:02:57;00:03:42;00:06:46;00:00:06;10;31;73;217;697;766;259;86;41;12;00:00:04;00:00:13;00:00:32;00:01:42;00:06:01;00:05:55;00:01:45;00:00:38;00:00:19;00:00:05;5;01:19:39;14;7;28,2;79,66
L;7852;99;42;2312;2645;29,4;0,1;0;33,7;8,7;113;14,2;45,3;2043;1806;1690;1114;1198;0;00:48:50;00:15:22;00:08:17;00:03:49;00:03:19;00:07:09;00:00:00;2;9;36;180;788;721;290;75;38;9;00:00:01;00:00:05;00:00:18;00:01:26;00:06:35;00:05:31;00:01:57;00:00:34;00:00:16;00:00:04;5;01:19:39;23;0;24,8;79,66
M;7931;100;43;2402;2752;30,3;0,2;0,1;34,7;9;117;17,1;47,4;1907;1804;1818;1848;547;7;00:47:59;00:14:52;00:08:59;00:06:14;00:01:33;00:07:49;00:00:01;5;31;76;219;737;719;285;114;48;14;00:00:02;00:00:14;00:00:33;00:01:42;00:06:16;00:05:20;00:01:57;00:00:49;00:00:23;00:00:06;6;01:19:39;18;8;25,5;79,66
N;7313;92;38;1971;2159;27;0,1;0,1;29,5;8;103;12,5;39,4;2048;1972;1322;1513;458;0;00:49:14;00:17:22;00:06:33;00:05:10;00:01:19;00:06:29;00:00:00;8;22;38;134;537;608;176;63;22;7;00:00:04;00:00:10;00:00:18;00:01:08;00:04:58;00:04:53;00:01:22;00:00:28;00:00:10;00:00:03;6;01:19:39;19;6;23,5;79,66
O;7664;96;41;2148;2316;28;0,1;0,1;30,2;8,5;110;14,5;42;1947;1925;1644;1891;247;10;00:48:14;00:16:08;00:08:07;00:06:25;00:00:42;00:07:09;00:00:01;5;22;51;175;664;704;218;77;37;10;00:00:02;00:00:11;00:00:22;00:01:19;00:06:06;00:05:37;00:01:33;00:00:34;00:00:17;00:00:04;7;01:19:39;10;4;26;79,66
