;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;6264;100;34;1327;1711;21,1;0,1;0,1;27,2;8,9;116;15,6;39,5;1550;1829;1558;968;357;2;00:35:08;00:15:30;00:07:43;00:03:19;00:01:00;00:04:20;00:00:00;5;18;46;162;593;607;212;71;30;8;00:00:02;00:00:08;00:00:21;00:01:18;00:05:16;00:04:49;00:01:29;00:00:30;00:00:13;00:00:03;5;01:02:42;18;5;24,3;62,72
A;6616;103;36;1435;1834;21,7;0,1;0,1;27,7;9,2;119;16,1;40;1721;1920;1539;902;524;9;00:35:37;00:16:33;00:07:34;00:03:07;00:01:29;00:04:38;00:00:01;8;24;57;183;573;645;228;80;24;4;00:00:03;00:00:10;00:00:23;00:01:24;00:05:09;00:05:02;00:01:32;00:00:33;00:00:11;00:00:01;5,5;01:04:24;14;7;27,4;64,41
B;6186;96;33;1301;1612;21;0,1;0,1;26,1;8,6;111;16;38,7;1785;1651;1448;1116;185;0;00:39:01;00:13:52;00:07:08;00:03:50;00:00:32;00:04:22;00:00:00;8;20;46;172;567;598;209;71;28;8;00:00:03;00:00:08;00:00:21;00:01:20;00:04:59;00:04:46;00:01:27;00:00:30;00:00:12;00:00:03;4,5;01:04:24;14;6;23,5;64,41
C;4211;99;22;1189;1239;28,2;0,2;0;29,4;8,7;113;13,6;41,9;1137;882;1003;1071;118;0;00:26:01;00:07:28;00:04:54;00:03:41;00:00:20;00:04:01;00:00:00;1;6;18;89;399;357;122;44;21;7;00:00:00;00:00:02;00:00:09;00:00:41;00:03:31;00:03:03;00:00:49;00:00:18;00:00:09;00:00:03;2;00:42:25;9;0;23,6;42,42
D;5747;89;31;1254;1441;21,8;0,2;0,1;25,1;7,9;102;14,8;37,1;1798;1569;1126;895;344;15;00:41:29;00:13:18;00:05:33;00:03:03;00:00:57;00:04:03;00:00:02;5;17;38;131;484;495;182;68;32;12;00:00:01;00:00:06;00:00:16;00:01:04;00:04:31;00:04:08;00:01:12;00:00:27;00:00:13;00:00:05;5;01:04:24;9;5;27,9;64,41
E;6729;104;36;1406;1864;20,9;0,2;0,1;27,7;9,4;122;16,3;40,4;1536;2146;1640;808;598;0;00:33:24;00:18:22;00:08:08;00:02:48;00:01:40;00:04:29;00:00:00;5;19;49;176;682;645;238;94;39;10;00:00:02;00:00:08;00:00:24;00:01:25;00:06:07;00:05:08;00:01:39;00:00:42;00:00:18;00:00:04;5;01:04:24;16;3;23,3;64,41
F;6256;97;34;1362;1792;21,8;0,1;0,2;28,6;8,8;114;17,4;41,5;1699;1657;1539;1100;259;3;00:38:14;00:14:04;00:07:37;00:03:43;00:00:43;00:04:28;00:00:00;10;31;55;174;614;651;247;71;23;6;00:00:04;00:00:13;00:00:24;00:01:22;00:05:24;00:05:06;00:01:40;00:00:30;00:00:10;00:00:02;6,5;01:04:24;26;7;25,5;64,41
G;6559;102;36;1414;1937;21,6;0,1;0,1;29,5;9,3;120;17,4;42,7;1524;1890;1732;641;773;0;00:35:31;00:15:49;00:08:42;00:02:14;00:02:06;00:04:20;00:00:00;4;23;56;180;713;662;253;89;36;9;00:00:01;00:00:11;00:00:26;00:01:30;00:06:04;00:05:15;00:01:45;00:00:37;00:00:16;00:00:04;4;01:04:24;21;5;24,8;64,41
H;6947;108;37;1635;2114;23,5;0,1;0,1;30,4;9,7;125;15,9;42,9;1500;1910;1901;1020;615;1;00:33:51;00:15:51;00:09:24;00:03:33;00:01:44;00:05:17;00:00:00;4;23;64;185;652;721;251;71;19;4;00:00:02;00:00:09;00:00:26;00:01:25;00:05:31;00:05:12;00:01:46;00:00:31;00:00:08;00:00:01;5;01:04:24;39;8;25,1;64,41
I;6621;103;35;1351;1858;20,4;0,1;0;28,1;9,1;118;15;40,6;1486;1905;1878;885;466;0;00:34:29;00:16:15;00:09:16;00:03:03;00:01:20;00:04:23;00:00:00;3;11;37;159;682;668;235;78;27;5;00:00:01;00:00:05;00:00:17;00:01:19;00:05:50;00:05:08;00:01:41;00:00:33;00:00:12;00:00:02;4,5;01:04:24;19;4;23;64,41
